BrandID	BrandName	Count
555901	AbsorbAid	7
2513085	Absorbine	1
2513084	Absorbine Jr.	1
3051938	Abstract Records	1
3051940	Abstract Sounds Books	12
2513106	Abt	1
555914	ABUELITA	8
3051953	Abundo Press	1
1679793	AC DELCO	15
3051956	Acacia	13
181696	ACADEMIA	3
2513161	Academia Barilla	4
1370660	ACADEMIA MUGNANO	73
3051970	Academic Internet Publishers	1
3051972	Academic Press	2
2506285	Academix	50
469018	Academy Style	5
2513169	Acadia	31
1370775	Acana	71
2278694	ACB	4
333673	Acca Kappa	29
3051975	Accel Music	1
297330	Accelerade	34
2513223	Accen	2
2513227	Accent	5
2513230	Accenti	2
2277491	Accentra	47
3051977	Accentus	34
3052013	Access Instructional Media	7
2513254	Accessory Essentials	2
2277528	Acco Brands	478
3052021	Accords Croises	2
555943	Accu-Chek	364
2166332	ACE	23
12524	Ace Hardware	2438
2278119	Ace Label	5
2016388	Ace of Diamonds	20
3052024	Ace Records	1
681478	ACE SIR	9
2016457	Acentino	2
205856	Acer	449
2513472	Acess	1
2513474	Acetaia Bellei	1
3052026	Acetate Records	3
555966	ACETUM	5
333726	Achaia Clauss	20
2278184	ACHI	4
2513541	Achva	7
297352	Acid Mantle	2
261306	ACME	372
2513580	Acme International	1
2513577	Acme Smoked Fish	9
308668	Acme Westcott	1
2304652	ACNE AIDS	3
2513611	Acnefree	12
333769	Aconbury Sprouts	19
3052030	Acople Records	1
2513644	Acorn	1
3052032	Acorn Media	203
145038	ACORSA	19
3052237	Acoustica Folk Academy	1
887322	Acqua de Etienne	7
887330	Acqua di Colbert	4
242779	ACQUA DI PARMA	161
2066286	ACQUA DI S	3
2066623	ACQUA DI T	2
2278413	Acqua Panna	4
2513650	Acronis	1
2278415	ACROPRINT TIME RECORDER CO.	2
297368	Acrylic Clear Cube organizer Display	1
297370	Acryline 2	1
297372	ACT	21
181718	ACT II	133
3052239	ActarBirkhauser	2
1502764	ACTI 9	237
2079457	ACTIBEL	8
2513673	Actifade	1
2016617	Actiff	1
2274868	Actilymph	97
20714	ACTION	408
555990	Action Labs	36
3052242	Action Slate	2
673578	ACTION!	96
2011112	Actiq	30
297374	Activa	1
2278639	Activa Products	25
2513685	Activate	9
334146	ACTIVE	6
556121	ACTIVE BEAUTY	3
93824	Active O2	14
764713	ACTIVEX	3
1371207	ACTIVIA	2
2016636	ACTIVIT	7
297376	Activlash	1
3052248	Acton Institute	1
2513766	Actus	10
2513816	Aculife	4
297380	Acupressure	1
556147	ACUSNE	1
3052250	AcuTab Publications	3
3052254	Ad Noiseam Records	1
3052256	AD Productions	1
2275052	ADA	5
261481	Adagio	18
2513843	Adagl	1
1371326	ADAM LEVINE	7
2278829	Adams	39
556152	ADAMS & BROOKS	26
2507887	Adaptec	102
306029	Adaptive Sound Technologies, Inc.	1
297384	ADC	1
297392	ADC (American Diagnostics Corp)	1
556193	Addis	35
3052264	Addison-Wesley	42
3052258	Addison-Wesley Professional	5
468167	ADEL	40
2016731	Adelita	5
2514168	Adelphos	4
888523	ADENAT	63
2278904	ADENNA INC	1
2223369	ADEX	11
3546	Adidas	1197
334424	Adirondack	109
3052307	Adirondack Pictures	1
2306124	ADM	5
2278971	Admiral Benbow Rum	1
181756	Admiral Nelson's	17
2278980	Admiral Rodney Rum	1
3604482	Admiranda	26
556355	Adnams	9
2016593	Adobe	187
3052309	Adobe Press	56
889042	Adolfo Dominguez	341
556360	ADOLPHS	2
3052366	Adopt Films	3
334520	ADORA	8
3052370	AdoraPet	1
3052372	Adrenaline Music Group	7
561859	ADRIENNE VITTADINI	9
2514248	Adriennes	4
2514253	Adro	13
2279794	ADS	9
3052380	Adult Source Media	42
1371585	Aduna	10
2514292	Advance	2
1371597	Advance Affinity	29
3052423	Advance Publishing	1
2514295	ADVANCED MEDIA	5
2514303	Advanced Nutritional Innovations	1
2767985	AdvancePierre	122
2514314	ADVANTUS	34
2279023	ADVANTUS CORPORATION	48
2514359	Adventur	8
299710	ADVENTURE INDUSTRIES, LLC	1
297396	Adventure Medical Kits	1
297400	Advil	313
2713859	AdvoCam	2
297403	AdvoCare	1
2298732	ADX	5
2506044	AEG	65
3386477	AEL	38
3052425	AEON	1
2279074	AER	3
2167363	AERHOGAR	1
2514428	Aero	3
3052427	Aero Space Records	1
2717233	Aerocool	99
3052429	Aesthetic VideoSource	8
302600	Aetrex	2
3052438	AFA Entertainment	1
3052440	AFAA Studio	1
3052442	Afchron.com	1
2289639	AFF	1
297414	Affirm	1
2279087	Affligem	1
2514539	Affy Tapple	3
2514546	Afilm	168
181780	Afk	23
2514715	Afm	1
3052444	AFM Records	5
2514737	Africa's Best	1
556465	African	21
3052450	African Book Collective	1
1980155	African Gold	44
297419	African Mango Burn	1
2514726	African Pride	3
2514732	African Red Tea Imports	5
2514736	African Royale	1
2514740	Afrin	6
556500	AFTER	1
2514746	After Eight	2
3052452	After Hours Cinema	22
2514749	After Inked	2
181811	AFTER SHOCK	3
2017054	AFTER-SUN	8
2514755	Afterbite	2
3052475	Aftermath Entertainment	4
2279130	Aftershock	4
297421	AG	1
2066175	AG.SEVILLA	1
680806	AGA	191
2514768	Aga Sidral	1
297423	Agadir	5
297426	Agadir Hair Oil	1
334645	AGAIN&AG	3
334649	Against The Grain	10
62945	Agama	71
2066160	AGATHA	12
556526	Agatha Ruiz De La Prada	22
2514783	Agave In The Raw	1
2671290	Agave Loco	1
2514785	Ageless Foundation	3
556549	AGELSS	2
556552	Agent Provocateur	71
3052480	Agents Entertainment	1
2416695	Agestar	29
556554	AGIP	39
2394409	AGN	4
77104	Agnesi	134
2499141	Agness	1
2017082	AGRADO	8
1372039	AGRETA	1
1372042	AGRICO	8
2017084	Agrimarkt	1
181877	AGRIOR	4
1372055	AGRISELE	1
2514854	Agrolabs	3
1372058	Agros	2
556595	AGUA BRAVA	6
2066173	AGUA CLASI	1
2514869	Agua Enerviva	3
2066179	AGUA LUNA	2
2017107	AGUAPLAST	8
2279166	Agwa De Bolivia	2
556597	AH SO	3
2020975	AH!LASKA	5
297430	AHAVA	65
3052482	Ahi Nama Music	1
21795	Ahmad	441
3001844	Ahold	1503
2515768	Ahold Companion	398
2513182	Ahold Delhaize	3563
2601925	Ahold Smart Living	424
2289777	AHR	43
3052484	Ai Weiwei Studio	1
181883	AiA	25
3052486	AIAA	1
206006	AID Plus	9
447548	AIDATA	16
2518503	Aidells	32
2518509	AIDMA ENTERPRISE CO LTD	1
302188	Aids to Daily Living	1
889802	Aigner	6
488237	Aihao	7
2305187	AII	10
1699714	AIKO	10
556645	AiM	55
3052488	AIMS Multimedia	32
2021000	AINHOA	7
181909	Ainsley	10
333097	Ainsley Harriott	33
2021007	Ainsworths	1
556737	Air Heads	86
1666893	Air Hoqs	3
2518537	Air Scence	1
2518534	Air Scense	4
297436	Air Stepper	1
556769	Air Therapy	10
1924486	Air Val International	14
334774	Air Wick	863
297434	Air-Cutter	1
935805	AIR-VAL	8
297440	Airborne	20
2518532	Airboss	10
3052521	Airbrush Action	11
297443	Aircast	4
297448	Airex	1
1213749	AirHogs	5
2715667	AIRLINE	47
3052533	Airline Records	1
687132	AIRMAX	1
3052535	Ais	1
2518829	AIVEN ON STATIONERY CO LTD	22
2279341	Aivy	4
163056	AIWA	2
3052537	AIX Records	14
890005	AJ's	2
121942	Ajax	133
430644	AJAY	9
2518869	Aji	14
1725293	Ajinomoto	56
556848	AK MAK	2
3052551	AK Press	1
1758206	AKACHAN-HONPO	65
556851	AKAI	35
206089	AKAT	6
135415	AKBAR	214
297452	AKDY	1
2277137	Akella	750
3005655	Akiyama	12
2281420	AKL	7
2279394	AKO	31
2021308	Akom	2
2011071	Akos	166
2377604	AKP	4
1372584	AKSAM	1
1696290	AKZENT	13
860210	AL	3
1351418	Al Alali	56
556933	AL DENTE	25
206100	AL DIAFA	9
1318762	Al Fakher	27
2518943	Al Fresco	33
528080	Al Ganga	12
556974	AL MARAI	102
1351432	Al Shifa	15
206125	AL SULTAN	5
2518974	Al Wadi	6
675097	AL-KO	49
557108	Al-Tabeea	33
2518981	Al.Mt	2
2021349	ALABASTINE	4
297454	Alacer	26
2279455	Alacran	1
2200217	ALADDIN	8
2519011	Alaga	2
2519012	Alagio	2
3004822	Alain Aregon	194
2519018	Alamo Red	4
2519023	ALAN	5
335243	Alara	14
2279468	ALAS	3
3052553	Alaska Video Publishing	5
2279476	Alasz	1
2519049	Alavert	3
2519050	Alaway	1
2279478	ALB	9
297458	Alba	8
304824	Alba Botanica	222
2021367	ALBAL	45
557347	Albanese	41
3052559	Albany Records	1
1373246	ALBATROS	1
335279	Albatross	89
2506477	Albeo	31
181956	Albert Bichot	31
2021406	Albert Heijn	3294
2020417	Albert Heijn Basic	205
2020625	Albert Heijn Excellent	144
2020770	Albert Heijn feest favoriet	2
2020776	Albert Heijn Puur&Eerlijk	195
2020972	Albert Heijn Time to BBQ	1
3052561	Albert Whitman & Company	3
557365	Albert's	10
2279501	Alberto	3
335329	Alberto Balsam	63
2306825	ALBERTO CU	5
77863	Alberto Culver	61
876464	Alberto Poiatti	17
204051	Alberto VO5	555
1373388	ALBERTOS	5
1373398	ALBERTS	1
2519233	Albertson's	159
225277	Albet i Noya	8
93847	Albi	50
1916742	Albin Du Roy	1
2021410	ALBORAL	4
3005802	Albrecht's delafield market	11
2288009	ALC	9
2756998	Alcatel	39
2279529	ALCE	4
702336	Alce Nero	65
297460	Alchachofa de laon	1
182026	ALCHEMY	17
3052579	Alchemy Werks	1
3052581	Alchemy Works	3
457867	ALCO	7
839873	ALCOM	8
297462	Alcon	2
2370021	ALCON BP	1
3052585	Alden Films	1
557388	ALDENS ORGANIC	10
2021467	Aldi	17
2021485	Aldipress	25
206136	Ale	8
3052587	Alebrije Home Entertainment	2
2279571	ALEEDA GRA	1
3052590	Aleho	1
2519464	Aleia's	20
2519485	Alejandro	2
557406	ALELUYA	1
305466	Alen	1
2279572	ALERA	4
335380	Alerana	19
2021516	Alesie	1
891336	ALESSANDRO	137
3604486	Alessandro Dell' Acqua	27
557409	Alessi	143
2519603	Alessio's	3
2021522	Alesto	9
2519607	Aleve	30
335386	ALEX	22
2021541	Alex Meijer	1
2279619	Alex Toys	13
2519672	Alex's	3
2519675	Alex's Meat & Provisions	5
2279631	Alexander Farms	1
3052592	Alexander Institute	7
557492	Alexander Keith's	18
891441	ALEXANDER MAC QUEEN	1
891443	Alexander McQueen	1
3052596	Alexander Street Press	156
2519633	Alexander Valley Vineyards	2
557514	Alexia	51
2519662	Alexian	8
22455	Alexis Lichine	9
2519682	Alexx Inc	1
1373581	ALFA	6
278612	ALFA POWER	11
299112	ALFA VITAMINS	5
297465	AlfaParf	12
2021570	Alfez	3
738510	Alfoldi Hus	1
3604476	Alfox	21
891496	Alfred Dunhill	111
3052753	Alfred Publishing	219
557547	ALFRED SUNG	57
891541	Algamar	18
84915	Algida	28
2279662	ALGO	7
2334907	ALH	1
2519767	Alias	2
182049	Alibert	16
3052973	Alibi	1
3052975	Alica Way Entertainment	1
297142	Alice	5
3052977	Alice In Arms Productions	1
3052979	Alice Knows What To Do	1
335430	Alice White	25
504751	ALIEN	1
297473	Align	1
297471	Align Digestive Care	1
300659	AliMed	1
3261208	alisco	19
2520076	Alive & Radiant Foods	1
3052983	Alive Mind	16
182066	ALIZE	37
297477	Alka-Seltzer	166
2520082	Alkalife	7
2520092	Alkaline88	2
2520095	Alkalol	1
557594	ALKAZO	1
2520112	Alkazone	3
335560	Alkmene	8
2021635	ALKYL	3
297479	All	60
3053000	All Access	9
2520123	All American	5
1373812	All Cats	5
3053010	All Day	5
2520130	All Day Energy	1
1373830	All Dogs	5
3053016	All Game Entertainment	1
3053018	All In One Workouts	1
304471	All Natural Daily Oxygen & Mineral Booster	1
2279739	All Natural Greens	1
557612	All One	20
3053020	All Pro Sports Video	12
3053033	All Saints Records	1
2021672	All seasons	2
309299	All Systems	7
557674	All Terrain	78
2021801	All'uovo	1
1373947	ALLABOUT	12
284	AllDays	58
181156	ALLDAYS DISCREET	1
2021689	Alle dag vers	20
297485	ALLEGRA	10
2520197	Allegra-d	6
182110	ALLEGRO	24
2506332	Allen's	47
2021732	Allens Sunshine	2
297488	Allergan	4
2520213	Allergaroo	2
2520216	Allergease	1
335721	Allergy Care	1
297491	Allergy Research Group	1
2520226	Allergyfree Foods	3
2520229	Allermates	4
1720122	Allevyn	91
2279811	Allfresh	1
297493	alli	3
20740	ALLIANCE	9
3053036	Alliance Atlantis	44
3053081	Alliance Motion Pictures	1
2279816	ALLIANCE RUBBER	17
2279818	Alliance Rubber Company	75
3053083	Allied Artists	8
2274831	Allied Domecq	13
2507063	Allied telesis	110
297495	Allimax	1
335724	ALLINSON	26
2021757	Allium	1
2279869	AllNutrition	126
3263503	allori	61
2280015	Allos	13
335738	Alloton	23
305814	Allport Editions	1
2280029	Allsaid & Dunn, LLC	1
2021761	AllSeasons	1
2520356	ALLSOP	10
2280031	ALLSOP CONSIGNMENT, INC.	1
1713778	Alltrade	248
3053092	Allumination FilmWorks	47
3355296	Allure	122
3053140	Alluvial Filmworks	22
3053163	Allyn & Bacon	14
2066586	ALMA	7
3053178	Alma Records	1
335751	Alma Win	40
557798	Almarai	10
297499	Almased	2
297501	Almay	443
2021805	Almhof	27
1374197	Almo Nature	292
2520446	Almond Dream	9
